observed_at	humidity_pct	dewpoint_c	pressure_hPa	temp_c
2024-11-21 00:00	19.588	-9.343	975.007	13.389
2024-11-21 00:01	19.803	-9.268	974.983	13.313
2024-11-21 00:02	19.8	-9.324	975.028	13.247
2024-11-21 00:03	20.011	-9.182	974.993	13.258
2024-11-21 00:04	19.615	-9.389	975.009	13.313
2024-11-21 00:05	19.602	-9.38	974.939	13.334
2024-11-21 00:06	19.516	-9.361	975.015	13.425
2024-11-21 00:07	19.66	-9.226	975.023	13.475
2024-11-21 00:08	19.105	-9.522	975.004	13.556
2024-11-21 00:09	19.106	-9.546	974.952	13.526
2024-11-21 00:10	19.32	-9.351	974.986	13.592
2024-11-21 00:11	19.085	-9.493	974.985	13.607
2024-11-21 00:12	19.154	-9.427	975.028	13.632
2024-11-21 00:13	19.081	-9.437	975.053	13.678
2024-11-21 00:14	19.061	-9.409	975.035	13.729
2024-11-21 00:15	18.716	-9.553	975.111	13.835
2024-11-21 00:16	18.626	-9.593	975.075	13.86
2024-11-21 00:17	18.962	-9.387	975.085	13.835
2024-11-21 00:18	18.697	-9.553	975.084	13.85
2024-11-21 00:19	18.561	-9.617	975.066	13.886
2024-11-21 00:20	18.541	-9.605	975.013	13.916
2024-11-21 00:21	18.628	-9.525	975.056	13.941
2024-11-21 00:22	18.592	-9.529	975.047	13.967
2024-11-21 00:23	18.837	-9.442	975.014	13.87
2024-11-21 00:24	18.643	-9.557	975.049	13.891
2024-11-21 00:25	18.933	-9.311	975.099	13.951
2024-11-21 00:26	18.677	-9.513	975.039	13.916
2024-11-21 00:27	19.301	-9.125	975.11	13.881
2024-11-21 00:28	18.635	-9.537	975.074	13.921
2024-11-21 00:29	18.749	-9.501	975.145	13.87
2024-11-21 00:30	19.251	-9.212	975.155	13.815
2024-11-21 00:31	18.726	-9.517	975.066	13.87
2024-11-21 00:32	18.916	-9.423	975.128	13.83
2024-11-21 00:33	18.8	-9.53	975.146	13.794
2024-11-21 00:34	18.992	-9.472	975.131	13.708
2024-11-21 00:35	18.894	-9.567	975.097	13.673
2024-11-21 00:36	19.059	-9.469	975.123	13.658
2024-11-21 00:37	18.983	-9.532	975.176	13.642
2024-11-21 00:38	19.604	-9.103	975.114	13.668
2024-11-21 00:39	19.381	-9.244	975.123	13.673
2024-11-21 00:40	19.232	-9.404	975.177	13.597
2024-11-21 00:41	19.32	-9.343	975.159	13.602
2024-11-21 00:42	19.262	-9.397	975.203	13.582
2024-11-21 00:43	19.635	-9.212	975.135	13.511
2024-11-21 00:44	19.384	-9.401	975.136	13.48
2024-11-21 00:45	19.461	-9.468	975.182	13.339
2024-11-21 00:46	19.464	-9.508	975.2	13.288
2024-11-21 00:47	19.752	-9.33	975.157	13.278
2024-11-21 00:48	19.486	-9.476	975.183	13.308
2024-11-21 00:49	19.534	-9.466	975.088	13.283
2024-11-21 00:50	19.542	-9.499	975.193	13.237
2024-11-21 00:51	19.583	-9.464	975.184	13.247
2024-11-21 00:52	19.237	-9.682	975.201	13.258
2024-11-21 00:53	20.005	-9.299	975.256	13.121
2024-11-21 00:54	19.597	-9.593	975.239	13.08
2024-11-21 00:55	20.518	-9.04	975.231	13.045
2024-11-21 00:56	19.721	-9.534	975.17	13.055
2024-11-21 00:57	20.049	-9.438	975.199	12.918
2024-11-21 00:58	19.921	-9.528	975.208	12.908
2024-11-21 00:59	20.94	-8.899	975.173	12.903
2024-11-21 01:00	20.344	-9.287	975.208	12.878
2024-11-21 01:01	19.873	-9.635	975.157	12.817
2024-11-21 01:02	20.323	-9.338	975.131	12.832
2024-11-21 01:03	20.089	-9.485	975.157	12.832
2024-11-21 01:04	19.946	-9.655	975.15	12.736
2024-11-21 01:05	19.951	-9.635	975.21	12.756
2024-11-21 01:06	20.988	-9.001	975.115	12.746
2024-11-21 01:07	20.077	-9.606	975.159	12.695
2024-11-21 01:08	20.51	-9.323	975.107	12.711
2024-11-21 01:09	20.126	-9.495	975.088	12.792
2024-11-21 01:10	20.032	-9.664	975.099	12.66
2024-11-21 01:11	20.008	-9.662	975.082	12.68
2024-11-21 01:12	20.679	-9.324	975.075	12.584
2024-11-21 01:13	20.175	-9.616	975.118	12.609
2024-11-21 01:14	19.924	-9.682	975.176	12.721
2024-11-21 01:15	20.169	-9.522	975.185	12.726
2024-11-21 01:16	19.872	-9.727	975.151	12.706
2024-11-21 01:17	19.772	-9.69	975.122	12.827
2024-11-21 01:18	19.618	-9.747	975.104	12.878
2024-11-21 01:19	19.51	-9.779	975.077	12.923
2024-11-21 01:20	19.797	-9.594	975.077	12.923
2024-11-21 01:21	19.55	-9.736	975.138	12.944
2024-11-21 01:22	19.55	-9.724	975.085	12.959
2024-11-21 01:23	19.43	-9.76	975.015	13.009
2024-11-21 01:24	19.667	-9.54	975.022	13.09
2024-11-21 01:25	19.276	-9.735	975.09	13.161
2024-11-21 01:26	19.537	-9.607	975.03	13.111
2024-11-21 01:27	19.442	-9.652	975.012	13.131
2024-11-21 01:28	19.319	-9.736	975.056	13.126
2024-11-21 01:29	19.415	-9.607	975.089	13.207
2024-11-21 01:30	19.167	-9.736	975.106	13.247
2024-11-21 01:31	19.329	-9.7	975.116	13.161
2024-11-21 01:32	19.438	-9.688	975.074	13.09
2024-11-21 01:33	19.627	-9.595	975.092	13.055
2024-11-21 01:34	19.51	-9.67	975.04	13.055
2024-11-21 01:35	19.53	-9.599	975.108	13.126
2024-11-21 01:36	19.585	-9.597	975.118	13.085
2024-11-21 01:37	19.412	-9.667	975.099	13.136
2024-11-21 01:38	19.674	-9.556	975.161	13.065
2024-11-21 01:39	19.757	-9.528	975.136	13.035
2024-11-21 01:40	19.671	-9.625	975.18	12.984
2024-11-21 01:41	19.992	-9.391	975.188	13.02
2024-11-21 01:42	19.618	-9.655	975.189	12.989
2024-11-21 01:43	19.883	-9.494	975.198	12.979
2024-11-21 01:44	19.683	-9.609	975.223	12.994
2024-11-21 01:45	19.569	-9.649	975.214	13.035
2024-11-21 01:46	20.037	-9.228	975.203	13.182
2024-11-21 01:47	19.453	-9.632	975.142	13.146
2024-11-21 01:48	19.672	-9.528	975.169	13.101
2024-11-21 01:49	20.588	-8.98	975.109	13.065
2024-11-21 01:50	19.697	-9.541	975.135	13.065
2024-11-21 01:51	19.639	-9.587	975.144	13.055
